b,yolov8_seg_map5095,mask_rcnn_map5095,yolov8_seg_map50,mask_rcnn_map50
982,0.4636620503658825,0.3871402071726931,0.6488614840346099,0.5683652791127852
983,0.47313422022958057,0.3706503095590724,0.6681770822490454,0.5658716496939268
984,0.45449534116495827,0.35082714971144546,0.6377400087859909,0.5211647787370044
985,0.4561546932334429,0.3585832214669026,0.6521080450645712,0.548752197436472
986,0.4581087443083904,0.3775201174239186,0.6491393070772229,0.5556921539330958
987,0.4727270145056519,0.40946759489593265,0.6889994899004502,0.5943122416028429
988,0.4348598340287757,0.36236732254883247,0.6298881398898455,0.5523846514436872
989,0.4830343953305729,0.403496031257266,0.6772046211617341,0.6011375582032928
990,0.46932770166434085,0.3837157868456174,0.6577787430609732,0.5802450605864624
991,0.48289250692424507,0.3998423888788034,0.6773053171747384,0.5907172675902123
992,0.47522347143612237,0.38876721858937524,0.6671153790876208,0.5497400855312622
993,0.45715151515811164,0.3541621317852194,0.6494084484778865,0.5414856443880758
994,0.48025891192385256,0.40387744311465257,0.670891467876647,0.5985568966918549
995,0.4592160001812519,0.37964374033502823,0.6525727260767346,0.5855068335119811
996,0.46487051575710486,0.37216998351505026,0.6539033957214283,0.5635310420278973
997,0.47622356437641256,0.39696418045266696,0.6659171791794453,0.5898058178822362
998,0.47306784338993646,0.4119078004884625,0.6695403476844957,0.5923805899494122
999,0.4487060233885272,0.36405790849914305,0.6292128602053447,0.5500681004891546
1000,0.4622244689606387,0.38815575174521977,0.6610944858124403,0.5915067046018851
1001,0.48659915780836993,0.39496806764566905,0.6816659446945862,0.5991742559588193
1002,0.4468916994187187,0.3637119312916981,0.6480763130609821,0.549367755595596
1003,0.4654973866548806,0.4005014648624471,0.6721074804526288,0.5863402700653316
1004,0.4706143651923821,0.40829012927031877,0.6542715075529703,0.5913889483182974
1005,0.4637662001981697,0.3872441609425512,0.6562925235821648,0.5875737512501541
1006,0.47709229340463705,0.3926317834661874,0.6683701076695119,0.567810088976349
1007,0.48237274028881305,0.40302031056158527,0.6730178772448867,0.5975542754087121
1008,0.46294801068433383,0.37267223618013295,0.6579703061324395,0.5661268022386743
1009,0.4880186547631566,0.4029666200271003,0.6876099120431426,0.5846736943831147
1010,0.4595433338855297,0.3748562801698536,0.6519472420183623,0.5566147065622381
1011,0.46298633258553873,0.38226298244144363,0.6788159560201982,0.5640229687813554
1012,0.45173629944176263,0.37086416894965724,0.645877743359835,0.5536803681941476
1013,0.47685113987241934,0.39910640087425187,0.6564995688202921,0.6048455686927595
1014,0.45585977842764147,0.37623387619936927,0.6424593334270733,0.5426813281114506
1015,0.4701323394784928,0.38450988138556025,0.6560620482914108,0.5638717121055219
1016,0.4740440752535381,0.3841423614709311,0.6437331677179923,0.5770433932078661
1017,0.4542299152445507,0.37941718185836065,0.6552181720443055,0.5484910986930864
1018,0.469188106024105,0.39722257811574846,0.6497752431952554,0.5855093626082871
1019,0.4456980820815339,0.3753085469938399,0.6323790697816725,0.5533493709933209
1020,0.45996038999852606,0.37115609900764096,0.6497812329417642,0.5712137906857291
1021,0.48004982446166145,0.4051998286848052,0.6619391786040105,0.5834605437700398
1022,0.4638046689432542,0.38255876357886287,0.6566252587258812,0.5753115115217018
1023,0.48408743556314743,0.40163554052857997,0.6658778497919288,0.589037206988148
1024,0.4790782629415017,0.3838573883089433,0.6737834661703384,0.5902162062595365
1025,0.4616595741635558,0.3758247878782126,0.6623585361494226,0.5668656661068335
1026,0.4711557516505981,0.3818004598249287,0.6673648988808069,0.5722595394377519
1027,0.504624936866935,0.42193435095257525,0.6951251262735693,0.6133047336482654
1028,0.4811661853562722,0.39262829751592543,0.6934516752558894,0.6229216542231794
1029,0.4847257315572507,0.3771892281502782,0.6561953853709139,0.5599758372617741
1030,0.44908571973266104,0.36316968943447303,0.6454126575527053,0.5529207070637047
1031,0.4908546717725369,0.42250406272799007,0.6923714910615809,0.6217871310966284
1032,0.47938334265922994,0.41338952460089173,0.6688634399062868,0.5916731763019296
1033,0.454648807111954,0.3742084757201514,0.6515969064551882,0.5404060214271189
1034,0.44859487800807285,0.3703128604216167,0.6398794043221151,0.5537699958282337
1035,0.488480529939578,0.4053634056358053,0.6874370586265264,0.5915415227765243
1036,0.4962767869039513,0.4024041882948269,0.683258271714828,0.5822299650278686
1037,0.48202905787087136,0.3848215984893073,0.672564232457208,0.5677778223311855
1038,0.47306044349321297,0.39503035653389684,0.6604470666178942,0.5623342263474216
1039,0.46195004290042646,0.381534240975751,0.6550386102429206,0.5691467274146834
1040,0.46010828012572497,0.39616812754955977,0.6494807033346743,0.5780528287765807
1041,0.44403425905611227,0.37230289689412444,0.6310737056039213,0.5473031712527193
1042,0.4548386462992516,0.36266254236751394,0.661829342324713,0.5354257123333697
1043,0.45307921166759263,0.3533135682023167,0.6510203164082803,0.5467833060681696
1044,0.4560125035948678,0.3707623904400018,0.6205712355009716,0.5400120380739346
1045,0.46867453694706007,0.37924908310209826,0.6496874485277553,0.5618332069316323
1046,0.46627691992280595,0.3764768807327613,0.6509145672883341,0.5698452241878467
1047,0.4801969335237914,0.40339228768631963,0.6766282372663204,0.5847534625177812
1048,0.4743476320954253,0.3985659775306294,0.6771669660692474,0.5926255795764604
1049,0.4688670602478408,0.38750439660033,0.6508170636689409,0.5835536094624121
1050,0.44545450122966995,0.3698312189941609,0.6456958212788909,0.5389246921581952
1051,0.45853917221809665,0.36279527998444944,0.6470323886422972,0.554482640665847
1052,0.4665406387436946,0.38279728366627536,0.6638526208207388,0.5768850866017077
1053,0.4804068271595633,0.3844197345020732,0.6846925911039193,0.5709999185017002
1054,0.4649696404385732,0.3845217449093719,0.6515939321428809,0.5522419427532617
1055,0.47082750257275546,0.39704444407517625,0.6596919144820226,0.5797189653950936
1056,0.4387752005134016,0.37079130306472863,0.6336628478390445,0.5596206752393662
1057,0.46098175463581365,0.36646675101813525,0.6637464913960323,0.5636819417389998
1058,0.46914281204163455,0.3960431026407118,0.6752018636614749,0.5855232324068058
1059,0.48685755263119174,0.3868053434098007,0.6758982512535161,0.587412403250732
1060,0.475042462236753,0.3819758681972577,0.6585957602205402,0.5742415006536077
1061,0.47779771378936625,0.41816689734537954,0.6641281406212445,0.6043999348798945
1062,0.4922011621729839,0.40908365030693106,0.6847792915520404,0.6052895103595246
1063,0.49093293395265064,0.4211092689507363,0.6873817461502995,0.6021688628665188
1064,0.45876705881050067,0.3787528898167223,0.6518164719812274,0.5726617207796058
1065,0.45347240257392,0.37592649658450217,0.6379847414188278,0.5668695754654822
1066,0.4862473086339205,0.3940245507286415,0.6716342257160812,0.5698568382783606
1067,0.4712161248900014,0.37829322829119527,0.6773932807509305,0.5817784444616905
1068,0.469053126989301,0.38910725985595496,0.6657934129903196,0.5753911948213924
1069,0.46801148467602943,0.3860601330772177,0.6667509649792388,0.5665297270206977
1070,0.4731131314829288,0.38838487589290266,0.664429856633645,0.5556076844268685
1071,0.45960787084325483,0.3741942001997144,0.6473536479855023,0.5530490631137257
1072,0.4675762128325241,0.39527141737929167,0.6544998760626871,0.5849749352626195
1073,0.46542422323636495,0.3578750075554018,0.6579300398166028,0.5325143868067859
1074,0.45225133535957807,0.3835691860745719,0.6410488769224042,0.5451261825342602
1075,0.4796648931402403,0.38348521858953505,0.6670527677437448,0.5581786327468587
1076,0.48679390597228733,0.40662475714310065,0.6863571728528738,0.6037994202514976
1077,0.4611509817168792,0.38636052201266785,0.6540301554423927,0.5773764332016503
1078,0.4566611039709232,0.3957180287886292,0.6410339580985255,0.5909516398144794
1079,0.48119216000023374,0.39983724696773737,0.6624430844612231,0.5972786330233671
1080,0.4714976039231683,0.3985953241862269,0.6617492578225482,0.5858524866441511
1081,0.4846167983978578,0.388345114462072,0.6704029965038022,0.5773598928238224
1082,0.4858506251272149,0.38866142484425215,0.6906959616105715,0.5740936330178982
1083,0.47042043089291813,0.36713708695853137,0.6630318593935274,0.568052964734483
1084,0.46063920708642586,0.38459871133136153,0.6461680281499652,0.5570861945526093
1085,0.4538647158766871,0.3637275328335237,0.6384684864552553,0.5592617279584893
1086,0.4686144422987373,0.38637047159497384,0.666610262966125,0.5425227938722784
1087,0.4736096880703406,0.41283820960823825,0.6717710708539975,0.6040197803378636
1088,0.4317345808701822,0.34754781678035873,0.6223827859499208,0.5355226283275314
1089,0.4695830016137507,0.4030130838512171,0.660645705491711,0.6156306195962651
1090,0.4552292464986452,0.368799421850102,0.6452531805775015,0.5477282725091104
1091,0.48737844531856084,0.4060296618450425,0.6675545335322385,0.5864112766812447
1092,0.4534945836136205,0.38036633901326655,0.6338979763486313,0.5320732569187895
1093,0.5025539781355618,0.3949236576897471,0.6996542012317691,0.5874382207958075
1094,0.4901766230940268,0.4018836071334862,0.6748848823136526,0.591266120272133
1095,0.45717359408069047,0.38957947064543047,0.6480876419278327,0.5783208410588965
1096,0.442587003123057,0.3510203277226078,0.6369340041309989,0.5234584776403937
1097,0.4382644319201336,0.35571488760360603,0.6298037761054897,0.5464185644131034
1098,0.4557356602227981,0.36419055827868085,0.6586727689664553,0.553001424093425
1099,0.4743885065562793,0.39664872415928054,0.664370408969726,0.5770681019126207
1100,0.48090305684362955,0.3990908611380077,0.6775224178122443,0.5897298308854659
1101,0.4722329603178749,0.3956506227110463,0.6531234195339656,0.5681941517945801
1102,0.4789652818475201,0.4026096440052719,0.6616899644928819,0.571282575811157
1103,0.4532751600733187,0.36690363345948646,0.6393894230012023,0.5409654492649221
1104,0.47984191715123387,0.378687246067919,0.6957627005230236,0.5644475924997925
1105,0.46773430587475034,0.3899463737483454,0.654455447795422,0.5808409209839257
1106,0.46578071059159115,0.38151474778915445,0.6526093569445911,0.5739905373493952
1107,0.46387143540277037,0.38863191677966696,0.6483268029935048,0.5518708330883971
1108,0.4656716175384567,0.39595632438272166,0.6519329515094947,0.588312883446908
1109,0.48585816260899456,0.39315486282114637,0.6679374460698424,0.5792493410520552
1110,0.44806689709290476,0.36546140359978424,0.6395834052074474,0.549471099261522
1111,0.4668222081493682,0.38281504723868015,0.6509480843490628,0.5780281472262996
1112,0.44896771791724166,0.3686257166302333,0.6466844497212336,0.5702553917674114
1113,0.4854538004132394,0.37916703152881825,0.6715558871066301,0.5760846825778273
1114,0.4740734342860935,0.4065461633459138,0.6500315750355488,0.5696376117328835
1115,0.48602622526930456,0.37786567398849713,0.6770348589916805,0.5515910216811725
1116,0.458003486016097,0.37703045223944154,0.6417877657145895,0.5329360898359621
1117,0.47016492978731406,0.3848786550769268,0.6585470620876888,0.5618901081421149
1118,0.4573149229441341,0.3821679289535215,0.6416225233038598,0.5449759345517526
1119,0.4691030184735735,0.3726303312434804,0.658192686966304,0.5747276520690457
1120,0.48795422409583994,0.3909171540036956,0.6723300794584925,0.5817866908309182
1121,0.4789330535087736,0.39064558257160725,0.6661959477660668,0.5709138069341653
1122,0.460116960370569,0.4012187503006105,0.6297993986403603,0.5620765688650133
1123,0.46880270512196254,0.40323441809553173,0.6470100903180791,0.5830635574306983
1124,0.4735592718624718,0.37338283648579756,0.6586552215983336,0.5640139806242853
1125,0.46715080776121576,0.3791875462177009,0.6579930797803264,0.5620019834603587
1126,0.452166558074174,0.3666850905908822,0.6493519125692158,0.5569440681420161
1127,0.48094953685186037,0.4238607247301771,0.6597043084354978,0.6076060819185339
1128,0.44397387152367696,0.36547172042130066,0.6411839798166377,0.5484940666860783
1129,0.450888436678887,0.3491197508955399,0.6646885514850092,0.555739578822136
1130,0.4629654726835785,0.3575361786266125,0.6642293261588464,0.5312979981762743
1131,0.4505292256495638,0.3690233812987044,0.639802302488406,0.5544354942196255
1132,0.4612589351414699,0.3754274336547772,0.6412958903537413,0.559922064739513
1133,0.4544522626280422,0.3704226986436439,0.6435695709991738,0.5337782305997641
1134,0.4792680880990208,0.3733331055841099,0.681070283872312,0.5596057388637179
1135,0.4410103848762209,0.36576032711814355,0.6462276993578343,0.5482974047341216
1136,0.4761761375338642,0.39894094083321996,0.6648237778448532,0.578962865466873
1137,0.45759137013925505,0.37602542646652376,0.641287795605093,0.5357908281606427
1138,0.46129428803521483,0.3587607963451815,0.6513411279645497,0.5364956407338901
1139,0.4380571362234464,0.34030456086744293,0.6271938019942109,0.5183746299129353
1140,0.46350215789131305,0.3725841244977124,0.650195276748688,0.5605122479182023
1141,0.4563586731797049,0.38046848520399984,0.6436813769352548,0.5553966577773543
1142,0.48190445406225557,0.3940960322734598,0.670596274436523,0.6068132196728124
1143,0.47462434641965473,0.3869384043486954,0.6697005031964228,0.5787417297340851
1144,0.47264187841375876,0.3906789390091368,0.6547933537389884,0.5637775848135468
1145,0.46193567828546334,0.37787431967763596,0.6642703578391618,0.5520147835515071
1146,0.4608391792472289,0.3783300459568605,0.6287608960723883,0.5625740544098431
1147,0.45918386468623085,0.37160279842345045,0.6490188405078764,0.5744884581695728
1148,0.46712160621086035,0.39541967598673183,0.6484839183896814,0.5712066240059532
1149,0.4746375132376083,0.3940051045007797,0.665046356172499,0.578529098321129
1150,0.4579891898108674,0.37084008047204015,0.6526240176148855,0.5783035817544244
1151,0.49702704919713525,0.41964278480823836,0.6799878630241526,0.5886709684865332
1152,0.45675094968292845,0.3765974577949058,0.6370508881916137,0.5435714319578244
1153,0.4489506429725681,0.36460838005146956,0.6363821391025316,0.5475505121243319
1154,0.4699461618894307,0.39038039313853934,0.6631286709301863,0.5867662197597083
1155,0.4815341081606228,0.3979762424386505,0.6705328742611094,0.5836049148778079
1156,0.4806090439592721,0.3838907451676656,0.6806923922994862,0.5747781220634269
1157,0.49070485608876113,0.38352229530085524,0.6891802800640128,0.5834003389053029
1158,0.4439764777333499,0.3715456613430304,0.6326546915751236,0.5200546745597199
1159,0.4679703646619339,0.390642756990163,0.6548295124207563,0.5690081250429261
1160,0.47629869972926836,0.40771297844826343,0.6619405127217357,0.5796602760658665
1161,0.49330330333975936,0.4040056892957392,0.6758574683718651,0.5808990156598355
1162,0.4806484311711665,0.38104146583164655,0.6626838730273293,0.5693939466536013
1163,0.4608948086815269,0.3939576143550809,0.6488515224132168,0.5907567108532685
1164,0.4750688500805116,0.3987227755801528,0.6619957634369258,0.6033289801684427
1165,0.4789160423768571,0.39241366330193556,0.6688518483978345,0.555467727747309
1166,0.44413627334842837,0.37657341868242755,0.6313489790604215,0.5460679219449994
1167,0.4700329355948243,0.3922247678488709,0.6651984372272213,0.5700025747201959
1168,0.4768034046878079,0.4187201167703309,0.6568151243381972,0.5938654331596048
1169,0.4435420496085615,0.3623901406975324,0.636706773516792,0.5646305101152888
1170,0.47899697365122373,0.39538307986687166,0.6776464559325615,0.5676078000072241
1171,0.46560914939534476,0.37236591199106944,0.6542147216039099,0.54585593423153
1172,0.48245998669730616,0.4118254627811848,0.661600756823734,0.5833677903045175
1173,0.46740591467591447,0.38056964355966616,0.6625541540538029,0.5621189589762305
1174,0.48101921755821675,0.3713709307266062,0.669312690638766,0.5583233529256177
1175,0.46678652869820225,0.3576807811488339,0.6477086299259153,0.5520797312459464
1176,0.45225026672930724,0.3897783931320038,0.6297928131317753,0.5551634052339934
1177,0.4570974600766213,0.3847522202061274,0.6463306620896828,0.5656952453689474
1178,0.49117526899260006,0.40431992824230095,0.6919447352234412,0.5993724062219846
1179,0.45721092192388924,0.3871842392345351,0.6411617901145252,0.5729693825868347
1180,0.4437904487438126,0.3756264897205685,0.6308019041216072,0.555344643862363
1181,0.47833188357973416,0.38834103236522055,0.6740869625124583,0.5655552971423295
1182,0.46316751831574426,0.3618827889755229,0.6715221760059682,0.559240655205526
1183,0.4554334093505887,0.39168211282696874,0.6443810876403097,0.5601739615894171
1184,0.4442419272835549,0.3606816487041683,0.6397226231113511,0.5547914635531755
1185,0.45984334210702527,0.3486411031760352,0.6390849546763837,0.5329033712083796
1186,0.46177927245337513,0.3863498586781036,0.6546085656220548,0.5710799587068217
1187,0.4331760592765055,0.36167240795773065,0.6172438389219868,0.5368680311954889
1188,0.46714894380658684,0.3665216001227428,0.6592613070079159,0.5723549871139536
1189,0.47201367084812895,0.39072568581939526,0.6697986801325363,0.5719793699132467
1190,0.45820772150570066,0.359461503287524,0.6570711770791771,0.5317408791300107
1191,0.4878714445873808,0.40914594642031904,0.6733566012385055,0.6161863510239033
1192,0.4427783907093567,0.3657104464549814,0.6355112715319214,0.542665821969095
1193,0.4898383310125045,0.42213279354439665,0.6798404261060867,0.6001785707407624
1194,0.45888098652159676,0.39446476397581964,0.6497560733956834,0.5991296395518443
1195,0.49450417466402363,0.40124670312843397,0.6786710549543853,0.5883670918494528
1196,0.47293655134746626,0.390015659779619,0.659694603552733,0.5788236276079356
1197,0.4435148228143505,0.38673377597285724,0.6278885328541102,0.5526696022755457
1198,0.48127448190428324,0.39759889679370036,0.6674067694215019,0.594523637447351
1199,0.4461714426664585,0.3643046446236685,0.6370044185239316,0.5398185900980927
1200,0.4453984107413768,0.3658078392418458,0.6378303635753066,0.5336955985530217
1201,0.4880457753270722,0.4069370838916171,0.6878356512198123,0.5984417466900193
1202,0.47046184627265514,0.3722733065805168,0.6547040196605827,0.5577392148983631
1203,0.48175180572027637,0.4180698581646494,0.6775088857107341,0.6072858425877491
1204,0.47728666911601536,0.4000501173110008,0.6702881550845553,0.5768031884832425
1205,0.48753575331598475,0.396075983651089,0.6603397172305683,0.5587649600207459
1206,0.46222099810189876,0.36782895125044796,0.6499785778747893,0.5482763478654498
1207,0.4834506449711795,0.39009287998293546,0.6595063513974232,0.5862751117054263
1208,0.4973346860774864,0.43153347314582113,0.6661201707022134,0.6061581198445861
1209,0.4545132226817397,0.37647772094881754,0.6393745263873811,0.5677951446737337
1210,0.4577426717116482,0.36363974301715607,0.6511506964694919,0.5458732127597123
1211,0.4584959037279668,0.36292810261646746,0.6441095862759287,0.5509317297626841
1212,0.47007614711209195,0.3872630127060071,0.6348318791229871,0.5548071213338054
1213,0.4784468840585721,0.38719775765938563,0.6545582419517432,0.5790508645544494
1214,0.4696483827467419,0.38790043441576155,0.6504461572795469,0.5545879181900146
1215,0.4730655235494463,0.38743649056299456,0.6735673732069615,0.5727685670314562
1216,0.46602304520821164,0.3651475062613516,0.6399397495469505,0.5213609519116994
1217,0.4582013771446668,0.36923426194979486,0.6500192137669488,0.5508290670973089
1218,0.4804331620350102,0.4177532774135009,0.688618065251995,0.5895541991299041
1219,0.4510572378831507,0.3526198614340954,0.6483112089974131,0.554883090300663
1220,0.44466460689513143,0.37705510836741807,0.6435679337685496,0.571690763433916
1221,0.46223560745244124,0.3657747389986513,0.6588730049390162,0.5535744040950155
1222,0.4812677628899775,0.39520489855398927,0.6816464965075204,0.5863649542829742
1223,0.46032888569742103,0.36881221067008463,0.6415586821296863,0.5496165074969768
1224,0.4775869675337697,0.39435669063554546,0.6856443456569201,0.5903743938619614
1225,0.4759408892883113,0.3936986590449181,0.6684448056879416,0.5740974153470428
1226,0.47444886921797147,0.3859223427296063,0.6613369083187499,0.554447350119737
1227,0.46332125208642155,0.3795720658716084,0.662915342433609,0.5628707778088142
1228,0.4795987438711515,0.37092731691528746,0.6812039268541014,0.5753512146570635
1229,0.49009719921702394,0.40686705324102695,0.6962232299018287,0.614918928301296
1230,0.44995468849957904,0.3675486737357973,0.6650870752883035,0.5591008939698501
1231,0.47847758990436373,0.39953399550857677,0.6679914675734384,0.5971767618401641
1232,0.47088593608361584,0.3945251829487558,0.6439018245639645,0.584668814987408
1233,0.4924118790967412,0.3770648928262852,0.6815257576031116,0.5645175301591961
1234,0.4563893392157091,0.3788391648529586,0.637780324706717,0.5590603896582372
1235,0.4933997526168678,0.41070497415347706,0.6602094948843142,0.581789011806493
1236,0.44895785306910124,0.35432370686617976,0.6526774735302692,0.5475825554563843
1237,0.4646813143857601,0.39059872727530814,0.6541555482986553,0.5722728684133458
1238,0.4612836815904775,0.3659828729534351,0.6621237751389064,0.5543158898362694
1239,0.45940338271222464,0.36556292436849225,0.647910582836883,0.5388012096033126
1240,0.48319225400953186,0.4039939040007138,0.6780067836716493,0.5862569921338352
1241,0.4836191628760673,0.38283340972030155,0.7059184226192434,0.5683564855637004
1242,0.4813543486429993,0.39959423921382387,0.6693335755381857,0.5840092503649125
1243,0.46561749735652896,0.38123237432926665,0.6577268613850837,0.5735635452223682
1244,0.4845109328999608,0.3838659269512238,0.6966824418347117,0.5785291721612933
1245,0.483134534528149,0.38974737781708796,0.6678806563171596,0.576524274569616
1246,0.46663733990944345,0.39462373994276095,0.6465443456732838,0.5847021862031496
1247,0.4751546501285096,0.3939525272662171,0.6755922887018195,0.5754263343175434
1248,0.48020479849469344,0.37541183973178976,0.6705077189923481,0.5752680053173369
1249,0.46355049676943855,0.3951681700331577,0.6525628911874678,0.575905832428625
1250,0.4493533808114429,0.37306968268232854,0.6233386590585087,0.5722932538670412
1251,0.4507545046697144,0.37511482481313063,0.6506876487186527,0.565620230646842
1252,0.47327078793271776,0.38813293751241457,0.6538522534938471,0.5641380407493708
1253,0.46472773309109,0.36352807815179444,0.6638705621130014,0.5510762350985761
1254,0.4731214878011763,0.3755299693865417,0.6674685990210011,0.5444289018746994
1255,0.4838038660067429,0.39640243218162874,0.6724092645313025,0.5863521152389441
1256,0.4630109982554276,0.39403975244359324,0.6560660964560173,0.5698191250752658
1257,0.45746133182694393,0.3800002038389582,0.6377269718454526,0.5582569222721965
1258,0.4627871880399639,0.3879255738095871,0.6541335103696888,0.5584810619817245
1259,0.47176556957305327,0.3563922967795591,0.6784710980574875,0.5479484955368812
1260,0.4506461335767113,0.3561339865842913,0.6320686678477982,0.5443904738367059
1261,0.44882587395427886,0.36122083120040244,0.6157382181662571,0.5458573743387983
1262,0.4339883785080079,0.3517362680146193,0.6019775069666763,0.5264401417288657
1263,0.4596096325380368,0.36965361235615835,0.6467632188623376,0.5642587715268684
1264,0.48035937754997254,0.3737548789917685,0.669658448271864,0.5720640141864999
1265,0.45020326519063003,0.3709334372429052,0.6300016154369305,0.5427452236885424
1266,0.4872058389011128,0.38720631761667773,0.6798667501831553,0.5869838321067069
1267,0.48409823576187566,0.39643364452596686,0.6872256096352575,0.5910695145142871
1268,0.46788567585689705,0.36931813384965617,0.6527890553114363,0.5492534882798271
1269,0.47738379330215924,0.3817081012671924,0.6679283634164773,0.5519964474680534
1270,0.4509960674382011,0.3670747147159692,0.6430097055386773,0.5691936455034897
1271,0.4704367299763676,0.40256055849791744,0.653955653581422,0.5830647327267043
1272,0.47583281334831984,0.4005175866383994,0.6668496647700631,0.5800775024704897
1273,0.4871677540361992,0.37493167332168087,0.6823098716511453,0.5592863024219491
1274,0.4594097613120087,0.3702447741479252,0.6660531323886089,0.5588726981687427
1275,0.4557395315866621,0.360932462981338,0.6432567335864784,0.5453857022125573
1276,0.46832659887966915,0.3798935704092217,0.7016391690288623,0.548114210191018
1277,0.47048221325648265,0.3898086096140468,0.6669640636246317,0.5829580947469973
1278,0.4836019742706645,0.38006591948560486,0.678984228982682,0.5656951519801183
1279,0.4715080592461894,0.3796240073503511,0.651490435604124,0.5603831999752619
1280,0.4730311389819442,0.391425936603413,0.6490630367582463,0.5812506553449216
1281,0.46331241696067366,0.3861350864576971,0.6430370036433863,0.5737625926217848
1282,0.4744326659795613,0.3842665022315344,0.6669300883753108,0.5751395885356135
1283,0.4729891778694434,0.3986627826069368,0.6837453704149019,0.581548373158851
1284,0.4927316533947759,0.405082316221974,0.6886118308838292,0.5994930448119659
1285,0.47896368746578605,0.400567213307865,0.6710127271017502,0.6138572848543506
1286,0.45801302173341407,0.375957928399425,0.6529512564077271,0.5580167641258446
1287,0.46785491796857614,0.37676641158982005,0.6552678906021147,0.5498947354884798
1288,0.4680659756913862,0.3939771338514314,0.6672651316602042,0.5527444403428011
1289,0.4644120131774597,0.37277977556925584,0.6474952486279699,0.5678202721797946
1290,0.4787902234754576,0.3876143909725139,0.6773431997360986,0.5704044616627509
