b,yolov8_det_map5095,faster_rcnn_map5095,yolov8_det_map50,faster_rcnn_map50
1528,0.4946590745277777,0.38105064866655075,0.7002992695347914,0.5773241792680772
1529,0.4856103060283229,0.3588840673324035,0.6782812184533265,0.5469805235892384
1530,0.5095984475093609,0.37399591135992605,0.7092346893525502,0.5769986842261007
1531,0.47813431270719964,0.35729727289959967,0.6717243512738061,0.5643276435418815
1532,0.49302199025900456,0.3632816374334835,0.6940703141146786,0.5502780783014045
1533,0.4745589752576747,0.37295358059699923,0.643206538835121,0.5734492639463122
1534,0.49538553540145713,0.37872056849893354,0.6900071604329404,0.5758963072561818
1535,0.4948549802514393,0.37794356223789166,0.6726561299444911,0.5711760510163856
1536,0.5001431091559304,0.36031890470729816,0.6944686161363112,0.5464685067250401
1537,0.48748949915744805,0.3823382116877373,0.6661802806239436,0.5759283290139775
1538,0.49262973909983904,0.371840564130037,0.6895438154853224,0.5712024260946177
1539,0.5188068241636017,0.39012142095095026,0.7293066944828996,0.5947443664663505
1540,0.5128779264950064,0.40801899813468706,0.7031963567737692,0.61139850274274
1541,0.4920513486935737,0.36438743888359904,0.6819985091918973,0.559250457646697
1542,0.4777904554270919,0.3500531285441541,0.6704273133542887,0.5488470800414477
1543,0.4810444249378958,0.3688005038599345,0.6748631237669516,0.5784902987904731
1544,0.48776068694932495,0.3740784107454543,0.691231699941786,0.5770769577129086
1545,0.4994134373597063,0.3675413441404152,0.7065375024673541,0.56577700285042
1546,0.5064939725222853,0.3648303641852905,0.7026572230565072,0.567157750391493
1547,0.49371174859116607,0.3523617935645377,0.6903620051467801,0.5442731815446354
1548,0.4875271013519993,0.39767509533299705,0.6885761892104459,0.5897217693113161
1549,0.4638265611857532,0.34885354423342646,0.6594458030275863,0.5375417656470526
1550,0.49704489871794283,0.33524050926993604,0.7043791509830644,0.5187271684060822
1551,0.4852533949858796,0.3663782641426452,0.6655491752832643,0.5745907773653275
1552,0.5095597456049087,0.3690601411424337,0.7060861350937903,0.5646860929217983
1553,0.5003261103492765,0.3830873268055638,0.7001610731945533,0.5788688475298729
1554,0.533328296593515,0.4113837316478767,0.7285855816014559,0.6135440032487761
1555,0.5106606828887545,0.3781973237525969,0.7025473967976777,0.5761763505866527
1556,0.4639680278753632,0.3462480851390053,0.648089152927723,0.5322865344335408
1557,0.4881264842433436,0.3868431662593254,0.66266771968132,0.5790588042978119
1558,0.4955674324466619,0.3766923802716288,0.7013131130643652,0.5816997712406202
1559,0.4769283494157714,0.37146161177479736,0.6788673750261223,0.5717369633529008
1560,0.5041626568218209,0.3721139816493648,0.6753016964842335,0.5784806017825813
1561,0.48149200001942744,0.3597576778280171,0.6924805975136769,0.568656224591796
1562,0.47490739281411337,0.3825650434328111,0.6787844792475618,0.5686437975319122
1563,0.5131680207149473,0.3820358567030681,0.7053058019309502,0.5776882332946705
1564,0.48857758667482354,0.36203408850898466,0.6739371430296905,0.5443631945280006
1565,0.5143008426811235,0.3704905856877152,0.6854732506101261,0.5681514778860202
1566,0.5083167577650156,0.38200336027988124,0.6974602527814645,0.5683726011205221
1567,0.4961603489575883,0.3738637662848153,0.6979257171463248,0.5804771298424009
1568,0.500539573732974,0.37986014095887444,0.7014591918193754,0.5626973191295537
1569,0.498003697270342,0.3771466820255968,0.6796583720830767,0.5655598926552576
1570,0.5044592761262965,0.39590420209034516,0.6965292669321339,0.6132886185007408
1571,0.4938625965745979,0.3641755961789968,0.6828090849579738,0.5642134987095111
1572,0.4889985522396758,0.3527120037865148,0.6882705959851766,0.5498007861073841
1573,0.5048556550130462,0.39684920339724555,0.7158612491393407,0.5982481637521136
1574,0.5016626550303463,0.37159901918118804,0.7018351056945925,0.573853073207734
1575,0.511467957888199,0.38320300392243106,0.7044936495177954,0.598482636094105
