epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,309.21,1.42324,2.20095,1.6703,0.49409,0.4992,0.47955,0.33002,1.61293,2.2178,1.84123,0.000498902,0.000498902,0.000498902
5,382.167,1.40051,2.09561,1.65505,0.58686,0.52484,0.53828,0.376,1.55878,2.02851,1.76513,0.000498048,0.000498048,0.000498048
6,454.87,1.37405,2.01276,1.62382,0.51057,0.5656,0.54839,0.38522,1.53171,1.93907,1.73582,0.000496953,0.000496953,0.000496953
7,528.124,1.3444,1.96457,1.60375,0.57466,0.55522,0.55083,0.38672,1.51554,1.94701,1.72787,0.000495616,0.000495616,0.000495616
8,601.286,1.32903,1.90823,1.58913,0.6275,0.54593,0.57808,0.42849,1.45929,1.86963,1.69272,0.000494039,0.000494039,0.000494039
9,672.29,1.3325,1.89381,1.58751,0.55358,0.5671,0.55066,0.38325,1.53385,1.92857,1.74356,0.000492224,0.000492224,0.000492224
10,741.905,1.30069,1.83728,1.5736,0.64142,0.56581,0.5885,0.42429,1.46928,1.82067,1.67674,0.000490173,0.000490173,0.000490173
11,811.634,1.28105,1.80083,1.55654,0.65588,0.55156,0.59483,0.43446,1.43104,1.79546,1.61597,0.000487886,0.000487886,0.000487886
12,881.123,1.26312,1.75717,1.53139,0.61349,0.61223,0.62074,0.45101,1.41088,1.7813,1.60774,0.000485368,0.000485368,0.000485368
13,950.943,1.24818,1.72048,1.51175,0.64574,0.60812,0.62182,0.44274,1.42516,1.69293,1.61835,0.00048262,0.00048262,0.00048262
14,1021.21,1.23575,1.68115,1.50685,0.5974,0.62069,0.6228,0.45392,1.42254,1.68231,1.61708,0.000479644,0.000479644,0.000479644
15,1090.97,1.24014,1.65791,1.50926,0.63306,0.59221,0.62046,0.45651,1.41988,1.66851,1.60741,0.000476445,0.000476445,0.000476445
16,1160.92,1.22674,1.6362,1.49488,0.67049,0.58589,0.60974,0.43623,1.49204,1.76177,1.66416,0.000473024,0.000473024,0.000473024
17,1231.77,1.21915,1.61929,1.48051,0.61783,0.62186,0.62427,0.45809,1.43836,1.70849,1.63588,0.000469386,0.000469386,0.000469386
18,1301.6,1.2033,1.58254,1.47983,0.64116,0.61717,0.6388,0.47705,1.39743,1.62162,1.57767,0.000465534,0.000465534,0.000465534
19,1371.24,1.18737,1.55259,1.4646,0.61082,0.6288,0.61672,0.44503,1.43037,1.67695,1.62312,0.000461471,0.000461471,0.000461471
20,1440.71,1.19249,1.54106,1.46276,0.66583,0.60892,0.64022,0.47467,1.40389,1.63274,1.59486,0.000457202,0.000457202,0.000457202
21,1510.31,1.16792,1.51256,1.45072,0.6358,0.63991,0.63447,0.47429,1.35961,1.58397,1.53854,0.000452732,0.000452732,0.000452732
22,1579.48,1.17059,1.49951,1.45064,0.63189,0.61993,0.63082,0.46139,1.48455,1.65028,1.66328,0.000448063,0.000448063,0.000448063
23,1649.53,1.16509,1.48151,1.4404,0.71194,0.58875,0.64858,0.48028,1.39906,1.59523,1.58063,0.000443202,0.000443202,0.000443202
24,1720.08,1.14806,1.43779,1.43107,0.64829,0.62404,0.63613,0.4755,1.37222,1.6174,1.56806,0.000438152,0.000438152,0.000438152
25,1790.52,1.15437,1.44771,1.42974,0.72224,0.60565,0.65477,0.47152,1.4419,1.59008,1.63834,0.00043292,0.00043292,0.00043292
26,1860.82,1.14855,1.42397,1.4258,0.66599,0.63183,0.65792,0.48526,1.37739,1.56782,1.57498,0.000427509,0.000427509,0.000427509
27,1931.5,1.11977,1.38686,1.40279,0.6881,0.64192,0.66686,0.49524,1.39714,1.52797,1.57946,0.000421925,0.000421925,0.000421925
28,2001.2,1.11289,1.36177,1.40483,0.69469,0.62465,0.66582,0.48663,1.41979,1.5232,1.60932,0.000416175,0.000416175,0.000416175
29,2070.62,1.12,1.36039,1.40012,0.71886,0.625,0.66778,0.49187,1.36818,1.52032,1.55576,0.000410262,0.000410262,0.000410262
30,2140.1,1.09137,1.31799,1.38085,0.67568,0.63628,0.6638,0.49435,1.37735,1.53783,1.57409,0.000404194,0.000404194,0.000404194
31,2209.41,1.10536,1.31545,1.38589,0.69447,0.62779,0.65567,0.47777,1.40869,1.52094,1.6045,0.000397977,0.000397977,0.000397977
32,2280.33,1.10312,1.29552,1.38586,0.69868,0.64703,0.66733,0.48972,1.44478,1.54645,1.62782,0.000391616,0.000391616,0.000391616
33,2351.89,1.10741,1.30728,1.37967,0.68904,0.65125,0.66825,0.49292,1.37782,1.49981,1.57123,0.000385117,0.000385117,0.000385117
34,2425.21,1.08744,1.28345,1.37029,0.68853,0.65395,0.67372,0.48876,1.44008,1.52982,1.62193,0.000378488,0.000378488,0.000378488
35,2497.81,1.06789,1.23539,1.35889,0.73988,0.63162,0.68191,0.49478,1.42368,1.51581,1.5939,0.000371734,0.000371734,0.000371734
36,2570.03,1.05717,1.22564,1.34661,0.70237,0.6507,0.67098,0.49147,1.40091,1.50167,1.59832,0.000364863,0.000364863,0.000364863
37,2642.49,1.053,1.21115,1.34277,0.71687,0.63522,0.68294,0.50435,1.39144,1.45673,1.58242,0.00035788,0.00035788,0.00035788
38,2714.92,1.0538,1.204,1.34444,0.71901,0.64853,0.66809,0.48887,1.41788,1.49973,1.61161,0.000350794,0.000350794,0.000350794
39,2788.69,1.05207,1.19037,1.34838,0.72645,0.62765,0.67495,0.49273,1.40102,1.49621,1.60144,0.000343611,0.000343611,0.000343611
40,2860.65,1.03924,1.18427,1.33165,0.71167,0.65331,0.68253,0.49992,1.41401,1.49284,1.59654,0.000336338,0.000336338,0.000336338
41,2934.11,1.02936,1.15812,1.32068,0.71654,0.63337,0.67902,0.50322,1.42158,1.48549,1.62399,0.000328982,0.000328982,0.000328982
42,3007.53,1.02715,1.14142,1.31299,0.71788,0.66104,0.68357,0.50928,1.37313,1.45958,1.57579,0.00032155,0.00032155,0.00032155
43,3080.82,1.0219,1.1265,1.3162,0.71186,0.64705,0.68069,0.4966,1.42431,1.48548,1.61567,0.000314051,0.000314051,0.000314051
44,3154.13,1.01752,1.11627,1.31844,0.70858,0.66287,0.67888,0.50006,1.41025,1.4713,1.59061,0.00030649,0.00030649,0.00030649
45,3225.96,1.0097,1.10509,1.31011,0.6774,0.67508,0.67193,0.4986,1.41497,1.50633,1.60482,0.000298877,0.000298877,0.000298877
46,3298.4,1.00618,1.09487,1.29932,0.70669,0.66791,0.68214,0.50357,1.39812,1.47311,1.58449,0.000291218,0.000291218,0.000291218
47,3370.63,0.99284,1.07746,1.2986,0.73805,0.6524,0.67472,0.50528,1.40806,1.47217,1.60549,0.00028352,0.00028352,0.00028352
48,3443.2,0.99248,1.05772,1.2855,0.71149,0.66625,0.67524,0.50376,1.40408,1.46771,1.60454,0.000275792,0.000275792,0.000275792
49,3515.93,0.98116,1.04808,1.28599,0.71922,0.65848,0.68475,0.51193,1.40668,1.44435,1.59085,0.000268041,0.000268041,0.000268041
50,3587.96,0.97143,1.03806,1.2726,0.70553,0.65984,0.68133,0.50184,1.42702,1.51706,1.61699,0.000260274,0.000260274,0.000260274
51,3659.88,0.96564,0.9953,1.26187,0.72817,0.67443,0.69083,0.51075,1.41228,1.44928,1.60192,0.0002525,0.0002525,0.0002525
52,3733.35,0.96725,1.01262,1.27254,0.73456,0.65597,0.68608,0.50988,1.39101,1.43076,1.59672,0.000244726,0.000244726,0.000244726
