epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4662.34,1.00257,1.81459,1.06915,1.24114,0.72669,0.65188,0.69337,0.54731,0.72196,0.65834,0.68601,0.52474,1.20647,2.20709,1.3203,1.37776,0.0001882,0.0001882,0.0001882
43,4771.14,0.99672,1.79002,1.04149,1.2337,0.69938,0.68477,0.69087,0.54083,0.69591,0.67743,0.67666,0.51935,1.19947,2.18455,1.31584,1.36918,0.0001684,0.0001684,0.0001684
44,4878.98,0.97683,1.7669,1.02541,1.21668,0.70652,0.67537,0.69825,0.55189,0.7073,0.67391,0.68904,0.53142,1.1833,2.18363,1.27924,1.35925,0.0001486,0.0001486,0.0001486
45,4987.26,0.95633,1.73919,1.00651,1.21055,0.69975,0.67092,0.7017,0.55502,0.73039,0.65355,0.68789,0.52969,1.17818,2.2052,1.29199,1.35999,0.0001288,0.0001288,0.0001288
46,5095.81,0.94528,1.71833,0.9913,1.19448,0.7232,0.68336,0.70712,0.55413,0.73959,0.66497,0.69691,0.53237,1.19137,2.19994,1.29154,1.36761,0.000109,0.000109,0.000109
47,5204.33,0.94091,1.6843,0.97447,1.18786,0.71079,0.68984,0.70408,0.55601,0.70855,0.68763,0.69284,0.5299,1.17803,2.18909,1.2898,1.35387,8.92e-05,8.92e-05,8.92e-05
48,5311.06,0.92605,1.6752,0.94814,1.18224,0.72846,0.66833,0.70488,0.55119,0.71641,0.66164,0.69117,0.52816,1.18269,2.20128,1.28743,1.36338,6.94e-05,6.94e-05,6.94e-05
49,5418.71,0.92725,1.68991,0.95579,1.19272,0.72503,0.68754,0.70825,0.55704,0.71776,0.68237,0.69435,0.53125,1.17885,2.19097,1.27413,1.3603,4.96e-05,4.96e-05,4.96e-05
50,5528.59,0.92085,1.6667,0.93815,1.1828,0.74119,0.66418,0.70959,0.55538,0.72654,0.67292,0.69704,0.53214,1.17521,2.19365,1.27079,1.35312,2.98e-05,2.98e-05,2.98e-05
1,135.433,1.52557,3.32726,2.97953,1.70992,0.57739,0.40966,0.37834,0.25167,0.54793,0.35571,0.33421,0.21508,1.65221,4.63316,2.57882,1.94461,0.0668687,0.000166489,0.000166489
2,263.568,1.44254,2.9217,2.49574,1.63606,0.55322,0.40138,0.44139,0.31235,0.56188,0.40421,0.43265,0.28761,1.53589,3.19858,2.31304,1.77968,0.0337019,0.000333099,0.000333099
3,389.631,1.37297,2.70201,2.25238,1.57407,0.59302,0.49413,0.50286,0.37005,0.59395,0.49024,0.49719,0.36247,1.4898,2.77483,2.06559,1.72144,0.000534982,0.000499483,0.000499483
4,513.624,1.37762,2.68811,2.19688,1.5789,0.54981,0.50502,0.50739,0.37418,0.57753,0.49876,0.50539,0.36738,1.46125,2.76479,2.09153,1.68351,0.000499237,0.000499237,0.000499237
5,637.984,1.34719,2.59807,2.08629,1.55344,0.58182,0.52023,0.53941,0.40982,0.58298,0.51913,0.53661,0.39964,1.39577,2.54869,1.90981,1.63168,0.000498644,0.000498644,0.000498644
6,763.796,1.3185,2.52254,1.99019,1.52414,0.64081,0.50185,0.51616,0.36077,0.65413,0.47683,0.50599,0.35605,1.48664,2.63579,1.99432,1.70852,0.000497883,0.000497883,0.000497883
7,889.352,1.30377,2.5096,1.97,1.50755,0.6327,0.51562,0.56638,0.42785,0.60486,0.52354,0.56073,0.41848,1.42024,2.51058,1.86413,1.63173,0.000496953,0.000496953,0.000496953
8,1014.05,1.27563,2.42087,1.88269,1.48741,0.59956,0.56492,0.57327,0.43454,0.61026,0.5623,0.56698,0.42248,1.37543,2.57436,1.80664,1.62261,0.000495856,0.000495856,0.000495856
9,1136.43,1.24915,2.38747,1.83589,1.4733,0.59718,0.57332,0.58877,0.44068,0.61014,0.56332,0.57969,0.43316,1.3819,2.48944,1.81213,1.60398,0.000494592,0.000494592,0.000494592
10,1260.95,1.24151,2.39106,1.82544,1.45678,0.59101,0.58051,0.56799,0.43561,0.59781,0.57947,0.56693,0.42942,1.35408,2.4771,1.83716,1.58267,0.000493162,0.000493162,0.000493162
11,1386.86,1.22635,2.33554,1.76658,1.45434,0.62679,0.5783,0.59383,0.44376,0.62681,0.57849,0.58919,0.43535,1.3644,2.45709,1.71886,1.57273,0.000491567,0.000491567,0.000491567
12,1511.81,1.20585,2.30534,1.71791,1.43183,0.63214,0.58273,0.60294,0.46003,0.62849,0.58119,0.59758,0.45155,1.33209,2.38267,1.71121,1.55809,0.000489808,0.000489808,0.000489808
13,1634.64,1.20119,2.29724,1.71948,1.43149,0.59925,0.56637,0.59615,0.44539,0.59422,0.56292,0.58196,0.4355,1.3704,2.42401,1.76067,1.6217,0.000487886,0.000487886,0.000487886
14,1756.94,1.18986,2.26652,1.68113,1.42002,0.61957,0.54892,0.57514,0.42523,0.60852,0.5421,0.56688,0.42328,1.41693,2.49091,1.8448,1.6403,0.000485804,0.000485804,0.000485804
15,1880.8,1.1692,2.23093,1.61705,1.40476,0.60361,0.60142,0.61371,0.47106,0.62553,0.59279,0.60799,0.45867,1.33686,2.36519,1.62684,1.55841,0.000483561,0.000483561,0.000483561
16,2006.67,1.16291,2.20563,1.60387,1.39204,0.67828,0.57073,0.63136,0.47281,0.68512,0.56095,0.6166,0.46462,1.32283,2.39434,1.61149,1.53507,0.00048116,0.00048116,0.00048116
17,2132.23,1.17614,2.19291,1.60683,1.40678,0.65396,0.57832,0.61386,0.47044,0.65252,0.57777,0.61031,0.46054,1.29341,2.35359,1.63345,1.52495,0.000478603,0.000478603,0.000478603
18,2255.9,1.13643,2.18832,1.57627,1.37458,0.65213,0.61038,0.63204,0.48333,0.65115,0.60791,0.62397,0.46861,1.31358,2.35083,1.59678,1.54221,0.00047589,0.00047589,0.00047589
19,2379.12,1.14987,2.17739,1.56738,1.38838,0.69452,0.57991,0.62594,0.47262,0.69706,0.58033,0.61899,0.46594,1.30464,2.32088,1.57396,1.5193,0.000473024,0.000473024,0.000473024
20,2504.37,1.12885,2.16587,1.53953,1.37116,0.68197,0.5971,0.63411,0.49281,0.67787,0.59456,0.62914,0.47609,1.28355,2.34857,1.55012,1.50971,0.000470007,0.000470007,0.000470007
21,2628.78,1.13038,2.1155,1.51544,1.36011,0.70323,0.61652,0.64274,0.48645,0.69301,0.60761,0.62807,0.47609,1.299,2.30308,1.57043,1.50073,0.000466841,0.000466841,0.000466841
22,2752.74,1.11453,2.10016,1.48936,1.35261,0.66848,0.61022,0.64197,0.48396,0.66368,0.59271,0.62788,0.46812,1.33562,2.34685,1.56892,1.56421,0.000463528,0.000463528,0.000463528
23,2874.28,1.09752,2.09319,1.45644,1.34739,0.68121,0.62037,0.6527,0.50411,0.68423,0.61458,0.64369,0.48692,1.28695,2.27004,1.53425,1.50676,0.000460071,0.000460071,0.000460071
24,2996.64,1.10545,2.0991,1.44702,1.3416,0.63448,0.62769,0.63798,0.49393,0.63262,0.62141,0.62845,0.47958,1.27724,2.2748,1.54168,1.50927,0.000456471,0.000456471,0.000456471
25,3121.48,1.09861,2.0752,1.44665,1.345,0.63398,0.6435,0.63225,0.48675,0.62897,0.63266,0.62029,0.4604,1.27686,2.37539,1.58342,1.50204,0.000452732,0.000452732,0.000452732
26,3247.74,1.07922,2.06858,1.4343,1.33454,0.66291,0.63317,0.65781,0.50555,0.6673,0.62808,0.64426,0.49027,1.26634,2.22225,1.46992,1.49269,0.000448855,0.000448855,0.000448855
27,3371.79,1.08574,2.07026,1.404,1.33398,0.64141,0.64148,0.64756,0.49541,0.64388,0.63642,0.64064,0.48251,1.29987,2.26925,1.48538,1.53806,0.000444844,0.000444844,0.000444844
28,3494.79,1.079,2.0321,1.38853,1.32594,0.66084,0.63262,0.6459,0.49621,0.67367,0.61262,0.63512,0.47801,1.27831,2.36259,1.46576,1.50375,0.0004407,0.0004407,0.0004407
29,3618.38,1.06536,2.02822,1.37915,1.31308,0.66392,0.64197,0.65456,0.49981,0.65625,0.63402,0.6408,0.4911,1.2779,2.27203,1.50735,1.49453,0.000436428,0.000436428,0.000436428
30,3743.37,1.05296,1.99298,1.3509,1.3084,0.69915,0.63751,0.66356,0.5099,0.69299,0.62981,0.65009,0.49942,1.2768,2.29407,1.48089,1.49835,0.00043203,0.00043203,0.00043203
31,3868.82,1.05828,1.99507,1.33544,1.30874,0.67907,0.63774,0.658,0.49524,0.66951,0.63043,0.64613,0.48219,1.31386,2.29553,1.5165,1.53525,0.000427509,0.000427509,0.000427509
32,3991.51,1.06264,1.99071,1.33317,1.30342,0.72758,0.62023,0.67117,0.51137,0.71203,0.61111,0.65737,0.50099,1.27381,2.265,1.46108,1.49291,0.000422868,0.000422868,0.000422868
33,4114.32,1.03575,1.97976,1.3174,1.30112,0.69839,0.64606,0.67401,0.51759,0.69623,0.63738,0.66233,0.50462,1.27613,2.26425,1.44096,1.49498,0.00041811,0.00041811,0.00041811
34,4236.6,1.02289,1.94269,1.28052,1.28199,0.71664,0.63221,0.66501,0.51143,0.71677,0.62559,0.65853,0.49826,1.26737,2.27263,1.47649,1.49499,0.000413238,0.000413238,0.000413238
35,4362.63,1.03736,1.95961,1.28997,1.29214,0.70285,0.64838,0.67387,0.51274,0.70969,0.6327,0.66707,0.50279,1.28203,2.2386,1.46211,1.5006,0.000408257,0.000408257,0.000408257
36,4487.44,1.02697,1.94558,1.27127,1.28918,0.70429,0.64671,0.67454,0.51292,0.69602,0.63691,0.66137,0.50029,1.27359,2.23701,1.46629,1.48854,0.000403168,0.000403168,0.000403168
37,4610.62,1.02682,1.92104,1.26167,1.28224,0.69615,0.64792,0.67998,0.51911,0.66541,0.65999,0.6655,0.50301,1.27872,2.29852,1.44847,1.49139,0.000397977,0.000397977,0.000397977
38,4733.51,1.00201,1.91127,1.2368,1.26292,0.66818,0.67191,0.66517,0.51061,0.66364,0.6538,0.6545,0.49807,1.30778,2.28973,1.50034,1.54853,0.000392686,0.000392686,0.000392686
39,4857.88,1.00197,1.89549,1.22079,1.26658,0.71361,0.63736,0.67487,0.5227,0.71544,0.62604,0.66925,0.50796,1.27492,2.26206,1.43597,1.49353,0.000387298,0.000387298,0.000387298
40,4982.87,1.00322,1.88737,1.23196,1.26752,0.68528,0.66971,0.68352,0.52842,0.68559,0.66072,0.67224,0.51319,1.27165,2.23864,1.41185,1.4812,0.000381818,0.000381818,0.000381818
41,5107.31,1.00326,1.88564,1.20131,1.25604,0.68492,0.64045,0.66663,0.51179,0.68608,0.63159,0.65867,0.49781,1.29137,2.27808,1.4746,1.50173,0.00037625,0.00037625,0.00037625
42,5229.71,0.99632,1.89609,1.1858,1.25093,0.7097,0.64874,0.67545,0.5155,0.70955,0.63765,0.66611,0.50405,1.2658,2.26548,1.41974,1.49584,0.000370597,0.000370597,0.000370597
43,5352.16,0.9869,1.85029,1.19325,1.25042,0.69856,0.65604,0.68153,0.51355,0.69939,0.6574,0.67326,0.5051,1.29781,2.27713,1.42437,1.51703,0.000364863,0.000364863,0.000364863
44,5477.8,0.96421,1.8502,1.15797,1.23378,0.7285,0.63284,0.67114,0.52477,0.71456,0.63348,0.66246,0.50455,1.25046,2.29324,1.4354,1.48267,0.000359051,0.000359051,0.000359051
45,5602.09,0.96016,1.82732,1.14505,1.23165,0.7084,0.66171,0.68759,0.53045,0.68344,0.6652,0.67307,0.5128,1.26274,2.26745,1.392,1.48603,0.000353167,0.000353167,0.000353167
46,5725.77,0.96205,1.82147,1.11922,1.2326,0.71738,0.65301,0.68032,0.53046,0.72098,0.64216,0.67151,0.51135,1.26461,2.26142,1.40313,1.49118,0.000347214,0.000347214,0.000347214
47,5848.91,0.96634,1.82083,1.13095,1.2301,0.7355,0.64855,0.68725,0.53257,0.7353,0.64558,0.67748,0.51425,1.25615,2.24997,1.39357,1.4823,0.000341196,0.000341196,0.000341196
48,5971.67,0.95595,1.77166,1.108,1.22451,0.72214,0.65655,0.6858,0.53321,0.72813,0.65783,0.68106,0.51668,1.25595,2.23934,1.38159,1.47776,0.000335117,0.000335117,0.000335117
49,6096.46,0.94872,1.81626,1.11174,1.21869,0.75622,0.61233,0.6755,0.51917,0.74072,0.6099,0.66154,0.49959,1.27661,2.28744,1.46102,1.50727,0.000328982,0.000328982,0.000328982
50,6221.02,0.93556,1.80522,1.09516,1.21492,0.71959,0.62978,0.67975,0.51933,0.68616,0.65103,0.66934,0.50294,1.27901,2.27569,1.40939,1.51635,0.000322794,0.000322794,0.000322794
51,6344.53,0.922,1.74972,1.06366,1.20895,0.72931,0.66159,0.69308,0.53179,0.71257,0.66028,0.67978,0.51539,1.25132,2.24725,1.36634,1.48713,0.000316558,0.000316558,0.000316558
52,6467.62,0.94343,1.80156,1.08664,1.21595,0.71972,0.66309,0.68267,0.53086,0.71566,0.66246,0.67751,0.51552,1.26403,2.23596,1.40674,1.48315,0.000310278,0.000310278,0.000310278
53,6591.57,0.92374,1.75583,1.06142,1.2035,0.72006,0.64918,0.68646,0.52451,0.70637,0.6508,0.67431,0.50651,1.28905,2.2951,1.42297,1.5209,0.000303958,0.000303958,0.000303958
54,6716.58,0.92321,1.74898,1.04194,1.19959,0.73524,0.65185,0.69702,0.53408,0.72769,0.6469,0.68836,0.5197,1.29537,2.2765,1.40073,1.52383,0.000297603,0.000297603,0.000297603
55,6840.82,0.92191,1.73039,1.04486,1.19809,0.67733,0.6771,0.67617,0.52406,0.67972,0.67253,0.6673,0.51005,1.28037,2.26445,1.41706,1.50883,0.000291218,0.000291218,0.000291218
56,6963.17,0.90588,1.71913,1.02566,1.19163,0.73437,0.67121,0.70287,0.54336,0.7255,0.66542,0.69613,0.53134,1.26091,2.23987,1.36938,1.48458,0.000284805,0.000284805,0.000284805
57,7085.74,0.9106,1.71835,1.02501,1.19594,0.73287,0.66706,0.69027,0.53608,0.72328,0.66758,0.6812,0.51848,1.26849,2.25391,1.37581,1.50643,0.000278371,0.000278371,0.000278371
58,7209.95,0.91065,1.73173,1.0245,1.18942,0.72638,0.65888,0.68523,0.53327,0.72488,0.65147,0.67547,0.5124,1.27057,2.27535,1.38857,1.49736,0.000271919,0.000271919,0.000271919
59,7334.76,0.90236,1.73144,1.01471,1.18632,0.72367,0.66629,0.685,0.52579,0.7168,0.66234,0.6715,0.51146,1.27656,2.28181,1.41379,1.50456,0.000265453,0.000265453,0.000265453
60,7458.95,0.89897,1.69663,0.99867,1.18199,0.76131,0.64141,0.68916,0.53067,0.73791,0.64108,0.67795,0.51449,1.27991,2.33177,1.38927,1.5166,0.000258979,0.000258979,0.000258979
61,7581.95,0.88525,1.67865,0.97317,1.17668,0.71207,0.67151,0.6953,0.53667,0.70595,0.66362,0.68252,0.52002,1.26872,2.27479,1.37354,1.49957,0.0002525,0.0002525,0.0002525
62,7703.93,0.88471,1.66625,0.97052,1.16922,0.73236,0.66753,0.69978,0.5404,0.73117,0.66463,0.68672,0.52432,1.27075,2.3042,1.3547,1.4917,0.000246021,0.000246021,0.000246021
63,7828.88,0.87716,1.66927,0.96846,1.16933,0.72456,0.67013,0.69532,0.5417,0.71812,0.66489,0.68363,0.52188,1.26855,2.29919,1.35675,1.49866,0.000239547,0.000239547,0.000239547
64,7953.79,0.88352,1.67793,0.96446,1.16491,0.69779,0.69735,0.70214,0.54524,0.69061,0.6887,0.68823,0.52419,1.27252,2.31437,1.37601,1.4925,0.000233081,0.000233081,0.000233081
65,8076.89,0.87364,1.6655,0.93858,1.16791,0.70539,0.67708,0.68983,0.53698,0.71931,0.67014,0.68244,0.51799,1.25982,2.30616,1.36556,1.49033,0.000226629,0.000226629,0.000226629
66,8199.1,0.8709,1.6394,0.93015,1.15874,0.72395,0.68132,0.6968,0.54093,0.7146,0.6793,0.68551,0.52112,1.25869,2.27304,1.3575,1.48569,0.000220195,0.000220195,0.000220195
67,8322.32,0.86073,1.64016,0.93083,1.15491,0.73361,0.66552,0.69813,0.54445,0.71894,0.67133,0.685,0.52636,1.26378,2.28404,1.35421,1.49092,0.000213782,0.000213782,0.000213782
68,8446.39,0.85564,1.63113,0.9066,1.15325,0.73286,0.68188,0.70731,0.54913,0.74334,0.66867,0.70026,0.52795,1.27773,2.29199,1.37151,1.50742,0.000207397,0.000207397,0.000207397
69,8571.3,0.84582,1.61668,0.89719,1.14962,0.74251,0.66806,0.69776,0.5394,0.73674,0.66396,0.69063,0.51988,1.2785,2.26582,1.37243,1.50732,0.000201042,0.000201042,0.000201042
70,8693.82,0.85883,1.61716,0.90502,1.15314,0.72946,0.68908,0.70329,0.54124,0.70994,0.68947,0.69182,0.52495,1.26896,2.29175,1.3525,1.49357,0.000194722,0.000194722,0.000194722
71,8816.43,0.83962,1.59824,0.88665,1.13831,0.76213,0.67826,0.70964,0.54819,0.76331,0.67144,0.70169,0.53021,1.26704,2.31703,1.35041,1.49777,0.000188442,0.000188442,0.000188442
72,8939.87,0.83605,1.60228,0.887,1.13177,0.74456,0.68132,0.70852,0.54545,0.75085,0.67306,0.70079,0.5277,1.25845,2.29856,1.36857,1.48901,0.000182206,0.000182206,0.000182206
73,9065.07,0.84118,1.60171,0.88419,1.13731,0.7003,0.68234,0.70115,0.54253,0.69222,0.68415,0.68885,0.52383,1.26094,2.3048,1.34861,1.48755,0.000176018,0.000176018,0.000176018
74,9187.79,0.82686,1.57974,0.87558,1.1311,0.76105,0.67498,0.71037,0.54707,0.74915,0.66595,0.69406,0.52749,1.27762,2.30351,1.33187,1.50574,0.000169883,0.000169883,0.000169883
75,9310.57,0.82749,1.57472,0.87326,1.12793,0.73749,0.68422,0.70975,0.55128,0.72956,0.67511,0.70107,0.53249,1.27442,2.3234,1.34694,1.50951,0.000163804,0.000163804,0.000163804
76,9432.69,0.82515,1.57348,0.86566,1.12844,0.73551,0.68797,0.70947,0.54656,0.73006,0.68401,0.70443,0.53305,1.26527,2.28493,1.33793,1.50105,0.000157786,0.000157786,0.000157786
77,9556.72,0.82037,1.56557,0.85886,1.12723,0.77188,0.67219,0.70765,0.54095,0.76956,0.66979,0.70135,0.5241,1.27673,2.32331,1.33499,1.5077,0.000151833,0.000151833,0.000151833
78,9680.29,0.80164,1.56388,0.83135,1.11336,0.74636,0.68491,0.71233,0.55241,0.73968,0.68671,0.70444,0.5353,1.27626,2.29999,1.33806,1.50899,0.000145949,0.000145949,0.000145949
